"item_num","code","omop_concept_id","omop_source_concept_id","target_domain_id","rationale","reviewer","reviewed_at"
"10","","","","","recordType","",""
"20","","","","","patientIdNumber","",""
"21","","","","","patientSystemIdHosp","",""
"30","","","","","registryType","",""
"40","","","","","registryId","",""
"45","","","","","npiRegistryId","",""
"50","","","","","naaccrRecordVersion","",""
"60","","","","","tumorRecordNumber","",""
"70","","","","","addrAtDxCity","",""
"80","","","","","addrAtDxState","",""
"81","","","","","stateAtDxGeocode19708090","",""
"82","","","","","stateAtDxGeocode2000","",""
"83","","","","","stateAtDxGeocode2010","",""
"84","","","","","stateAtDxGeocode2020","",""
"86","","","","","geocodingQualityCode","",""
"87","","","","","geocodingQualityCodeDetail","",""
"89","","","","","countyAtDxAnalysis","",""
"90","","","","","countyAtDx","",""
"94","","","","","countyAtDxGeocode1990","",""
"95","","","","","countyAtDxGeocode2000","",""
"96","","","","","countyAtDxGeocode2010","",""
"97","","","","","countyAtDxGeocode2020","",""
"100","","","","","addrAtDxPostalCode","",""
"102","","","","","addrAtDxCountry","",""
"110","","","","","censusTract19708090","",""
"120","","","","","censusCodSys19708090","",""
"125","","","","","censusTract2020","",""
"130","","","","","censusTract2000","",""
"135","","","","","censusTract2010","",""
"145","","","","","censusTrPovertyIndictr","",""
"150","","","","","maritalStatusAtDx","",""
"160","","","","","race1","",""
"161","","","","","race2","",""
"162","","","","","race3","",""
"163","","","","","race4","",""
"164","","","","","race5","",""
"190","","","","","spanishHispanicOrigin","",""
"191","","","","","nhiaDerivedHispOrigin","",""
"192","","","","","ihsLink","",""
"193","","","","","raceNapiia","",""
"194","","","","","ihsPurchRefCareDeliveryArea","",""
"200","","","","","computedEthnicity","",""
"210","","","","","computedEthnicitySource","",""
"220","","","","","sex","",""
"230","","","","","ageAtDiagnosis","",""
"240","","","","","dateOfBirth","",""
"252","","","","","birthplaceState","",""
"254","","","","","birthplaceCountry","",""
"272","","","","","censusIndCode2010","",""
"282","","","","","censusOccCode2010","",""
"284","","","","","urbanIndianHealthOrganization","",""
"285","","","","","uihoFacility","",""
"290","","","","","occupationSource","",""
"300","","","","","industrySource","",""
"310","","","","","textUsualOccupation","",""
"320","","","","","textUsualIndustry","",""
"339","","","","","ruca2000","",""
"341","","","","","ruca2010","",""
"344","","","","","tobaccoUseSmokingStatus","",""
"345","","","","","uric2000","",""
"346","","","","","uric2010","",""
"361","","","","","censusBlockGroup2020","",""
"362","","","","","censusBlockGroup2000","",""
"363","","","","","censusBlockGroup2010","",""
"364","","","","","censusTrCert19708090","",""
"365","","","","","censusTrCertainty2000","",""
"366","","","","","gisCoordinateQuality","",""
"367","","","","","censusTrCertainty2010","",""
"368","","","","","censusBlockGrp197090","",""
"369","","","","","censusTractCertainty2020","",""
"380","","","","","sequenceNumberCentral","",""
"390","","","","","dateOfDiagnosis","",""
"400","","","","","primarySite","",""
"410","","","","","laterality","",""
"420","","","","","histologyIcdO2","",""
"430","","","","","behaviorIcdO2","",""
"440","","","","","grade","",""
"441","","","","","gradePathValue","",""
"442","","","","","ambiguousTerminologyDx","",""
"443","","","","","dateConclusiveDx","",""
"444","","","","","multTumRptAsOnePrim","",""
"445","","","","","dateOfMultTumors","",""
"446","","","","","multiplicityCounter","",""
"449","","","","","gradePathSystem","",""
"450","","","","","siteCodingSysCurrent","",""
"460","","","","","siteCodingSysOriginal","",""
"470","","","","","morphCodingSysCurrent","",""
"480","","","","","morphCodingSysOriginl","",""
"490","","","","","diagnosticConfirmation","",""
"500","","","","","typeOfReportingSource","",""
"501","","","","","casefindingSource","",""
"522","","","","","histologicTypeIcdO3","",""
"523","","","","","behaviorCodeIcdO3","",""
"530","","","","","edpMdeLinkDate","",""
"531","","","","","edpMdeLink","",""
"540","","","","","reportingFacility","",""
"545","","","","","npiReportingFacility","",""
"550","","","","","accessionNumberHosp","",""
"560","","","","","sequenceNumberHospital","",""
"570","","","","","abstractedBy","",""
"580","","","","","dateOf1stContact","",""
"590","","","","","dateOfInptAdm","",""
"600","","","","","dateOfInptDisch","",""
"610","","","","","classOfCase","",""
"630","","","","","primaryPayerAtDx","",""
"668","","","","","rxHospSurgApp2010","",""
"670","","","","","rxHospSurgPrimSite","",""
"671","","","","","rxHospSurgPrimSite2023","",""
"672","","","","","rxHospScopeRegLnSur","",""
"674","","","","","rxHospSurgOthRegDis","",""
"676","","","","","rxHospRegLnRemoved","",""
"682","","","","","dateRegionalLNDissection","",""
"690","","","","","rxHospRadiation","",""
"700","","","","","rxHospChemo","",""
"710","","","","","rxHospHormone","",""
"720","","","","","rxHospBrm","",""
"730","","","","","rxHospOther","",""
"740","","","","","rxHospDxStgProc","",""
"746","","","","","rxHospSurgSite9802","",""
"747","","","","","rxHospScopeReg9802","",""
"748","","","","","rxHospSurgOth9802","",""
"751","","","","","rxHospReconBreast","",""
"752","","","","","tumorSizeClinical","",""
"754","","","","","tumorSizePathologic","",""
"756","","","","","tumorSizeSummary","",""
"759","","","","","seerSummaryStage2000","",""
"760","","","","","seerSummaryStage1977","",""
"762","","","","","derivedSummaryStage2018","",""
"764","","","","","summaryStage2018","",""
"772","","","","","eodPrimaryTumor","",""
"774","","","","","eodRegionalNodes","",""
"776","","","","","eodMets","",""
