"item_num","item_name","reason"
"1960","Site (73-91) ICD-O-1","is_mappable=false in legacy mapping spec"
"1971","Histology (73-91) ICD-O-1","is_mappable=false in legacy mapping spec"
"1972","Behavior (73-91) ICD-O-1","is_mappable=false in legacy mapping spec"
"1973","Grade (73-91) ICD-O-1","is_mappable=false in legacy mapping spec"
"1981","Over-ride SS/NodesPos","is_mappable=false in legacy mapping spec"
"1982","Over-ride SS/TNM-N","is_mappable=false in legacy mapping spec"
"1983","Over-ride SS/TNM-M","is_mappable=false in legacy mapping spec"
"1985","Over-ride Acsn/Class/Seq","is_mappable=false in legacy mapping spec"
"1986","Over-ride HospSeq/DxConf","is_mappable=false in legacy mapping spec"
"1987","Over-ride CoC-Site/Type","is_mappable=false in legacy mapping spec"
"1988","Over-ride HospSeq/Site","is_mappable=false in legacy mapping spec"
"1989","Over-ride Site/TNM-StgGrp","is_mappable=false in legacy mapping spec"
"1990","Over-ride Age/Site/Morph","is_mappable=false in legacy mapping spec"
"1992","Over-ride TNM Stage","is_mappable=false in legacy mapping spec"
"1993","Over-ride TNM Tis","is_mappable=false in legacy mapping spec"
"1994","Over-ride TNM 3","is_mappable=false in legacy mapping spec"
"2000","Over-ride SeqNo/DxConf","is_mappable=false in legacy mapping spec"
"2010","Over-ride Site/Lat/SeqNo","is_mappable=false in legacy mapping spec"
"2020","Over-ride Surg/DxConf","is_mappable=false in legacy mapping spec"
"2030","Over-ride Site/Type","is_mappable=false in legacy mapping spec"
"2040","Over-ride Histology","is_mappable=false in legacy mapping spec"
"2050","Over-ride Report Source","is_mappable=false in legacy mapping spec"
"2060","Over-ride Ill-define Site","is_mappable=false in legacy mapping spec"
"2070","Over-ride Leuk, Lymphoma","is_mappable=false in legacy mapping spec"
"2071","Over-ride Site/Behavior","is_mappable=false in legacy mapping spec"
"2072","Over-ride Site/EOD/DX Dt","is_mappable=false in legacy mapping spec"
"2073","Over-ride Site/Lat/EOD","is_mappable=false in legacy mapping spec"
"2074","Over-ride Site/Lat/Morph","is_mappable=false in legacy mapping spec"
"2078","Over-ride Name/Sex","is_mappable=false in legacy mapping spec"
"2085","Date Case Initiated","is_mappable=false in legacy mapping spec"
"2090","Date Case Completed","is_mappable=false in legacy mapping spec"
"2092","Date Case Completed--CoC","is_mappable=false in legacy mapping spec"
"2100","Date Case Last Changed","is_mappable=false in legacy mapping spec"
"2110","Date Case Report Exported","is_mappable=false in legacy mapping spec"
"2111","Date Case Report Received","is_mappable=false in legacy mapping spec"
"2112","Date Case Report Loaded","is_mappable=false in legacy mapping spec"
"2113","Date Tumor Record Availbl","is_mappable=false in legacy mapping spec"
"2116","ICD-O-3 Conversion Flag","is_mappable=false in legacy mapping spec"
"2117","Schema ID Version Current","is_mappable=false in legacy mapping spec"
"2118","Schema ID Version Original","is_mappable=false in legacy mapping spec"
"2140","CoC Coding Sys--Current","is_mappable=false in legacy mapping spec"
"2150","CoC Coding Sys--Original","is_mappable=false in legacy mapping spec"
"2152","CoC Accredited Flag","is_mappable=false in legacy mapping spec"
"2156","AJCC API Version Current","is_mappable=false in legacy mapping spec"
"2157","AJCC API Version Original","is_mappable=false in legacy mapping spec"
"2158","AJCC Cancer Surveillance DLL Version Current","is_mappable=false in legacy mapping spec"
"2159","AJCC Cancer Surveillance DLL Version Original","is_mappable=false in legacy mapping spec"
"2170","Vendor Name","is_mappable=false in legacy mapping spec"
"2410","Institution Referred From","is_mappable=false in legacy mapping spec"
"2415","NPI--Inst Referred From","is_mappable=false in legacy mapping spec"
"2420","Institution Referred To","is_mappable=false in legacy mapping spec"
"2425","NPI--Inst Referred To","is_mappable=false in legacy mapping spec"
"2440","Following Registry","is_mappable=false in legacy mapping spec"
"2445","NPI--Following Registry","is_mappable=false in legacy mapping spec"
"3750","Over-ride CS 1","is_mappable=false in legacy mapping spec"
"3751","Over-ride CS 2","is_mappable=false in legacy mapping spec"
"3752","Over-ride CS 3","is_mappable=false in legacy mapping spec"
"3753","Over-ride CS 4","is_mappable=false in legacy mapping spec"
"3754","Over-ride CS 5","is_mappable=false in legacy mapping spec"
"3755","Over-ride CS 6","is_mappable=false in legacy mapping spec"
"3756","Over-ride CS 7","is_mappable=false in legacy mapping spec"
"3757","Over-ride CS 8","is_mappable=false in legacy mapping spec"
"3758","Over-ride CS 9","is_mappable=false in legacy mapping spec"
"3759","Over-ride CS 10","is_mappable=false in legacy mapping spec"
"3760","Over-ride CS 11","is_mappable=false in legacy mapping spec"
"3761","Over-ride CS 12","is_mappable=false in legacy mapping spec"
"3762","Over-ride CS 13","is_mappable=false in legacy mapping spec"
"3763","Over-ride CS 14","is_mappable=false in legacy mapping spec"
"3764","Over-ride CS 15","is_mappable=false in legacy mapping spec"
"3765","Over-ride CS 16","is_mappable=false in legacy mapping spec"
"3766","Over-ride CS 17","is_mappable=false in legacy mapping spec"
"3767","Over-ride CS 18","is_mappable=false in legacy mapping spec"
"3768","Over-ride CS 19","is_mappable=false in legacy mapping spec"
"3769","Over-ride CS 20","is_mappable=false in legacy mapping spec"
